nombre,temporada,posicion,edad,partidos,goles,asistencias,probabilidad,prediccion,etiqueta
Exequiel Zeballos,2020,Right Winger,18,11,1,1,0.07077266180114741,0,0
Rolando Schiavi,2011,Centre-Back,38,48,2,1,0.07030279414952836,0,0
Carlos Izquierdoz,2020,Centre-Back,31,41,3,1,0.06988514619884001,0,0
Nicolás Colazo,2014,Left-Back,23,41,2,4,0.06876984094300004,0,0
Sebastián Palacios,2012,Right Winger,20,7,0,2,0.0683591181387982,0,0
Cristian Chávez,2010,Attacking Midfield,24,35,3,0,0.06828428939386758,0,0
Lautaro Di Lollo,2024,Centre-Back,20,31,3,0,0.06804656008713154,0,0
Juan Cruz Komar,2014,Centre-Back,17,5,1,0,0.06747672757008835,0,0
Naohiro Takahara,2001,Centre-Forward,22,6,1,0,0.06455093713470594,0,0
Lucas Janson,2024,Left Winger,29,6,1,0,0.06430152269619123,0,0
Cata DíazCata Díaz,2005,Centre-Back,25,40,4,0,0.06308271754323826,0,0
Pablo Mouche,2009,Left Winger,21,20,2,1,0.06306830168035218,0,0
Fernando Gago,2006,Defensive Midfield,20,20,1,2,0.062437339165089124,0,0
Alexis Mac Allister,2019,Central Midfield,20,13,1,1,0.061172026138697065,0,0
Raúl Cascini,2002,Defensive Midfield,31,40,1,3,0.06052494714326965,0,0
Hugo Ibarra,2000,Right-Back,26,41,2,3,0.0601105325349558,0,0
Fabián Vargas,2003,Central Midfield,23,33,2,2,0.05957241643643927,0,0
Leonardo Jara,2015,Right-Back,24,20,1,3,0.0593670735940314,0,0
Mauricio Serna,2000,Defensive Midfield,32,37,1,1,0.05905196719808034,0,0
Sebastián Palacios,2015,Right Winger,23,19,2,1,0.05859211203457071,0,0
Facundo Roncaglia,2011,Centre-Back,24,46,4,0,0.05825266869958865,0,0
Franco Soldano,2020,Centre-Forward,25,16,2,0,0.05498870970940679,0,0
Pol FernándezPol Fernández,2022,Central Midfield,30,47,2,2,0.054170173515067144,0,0
Fabián Monzón,2009,Left-Back,22,23,2,2,0.053917765440932304,0,0
Cata DíazCata Díaz,2013,Centre-Back,33,38,3,0,0.05325413567653484,0,0
Gastón Sauro,2011,Centre-Back,21,6,1,0,0.051238969765775445,0,0
Diego Cagna,2003,Right Midfield,33,46,2,2,0.05039990688642684,0,0
Lisandro López,2020,Centre-Back,30,24,2,1,0.04842940327905258,0,0
Cristian Chávez,2009,Attacking Midfield,23,26,1,2,0.04838302655042997,0,0
Fernando Gago,2004,Defensive Midfield,18,24,0,4,0.04787306698471529,0,0
Cristian Lucchetti,2010,Goalkeeper,32,26,0,1,0.04701850466223461,0,0
Darío Benedetto,2023,Centre-Forward,33,13,1,0,0.04686741567799968,0,0
Carlos Zambrano,2020,Centre-Back,30,15,2,0,0.04686296022078047,0,0
Sergio Orteman,2006,Defensive Midfield,27,20,1,0,0.04568413778500542,0,0
